Question,Answer
"Describe Movensys' core technology, Soft Motion, including its components and key benefits.","Movensys' core technology is Soft Motion, which is comprised of a communication-optimized Soft Master, real-time modular synchronization, and dynamic channel management technologies. This patented technology features a highly optimized modular and open architecture, offering broad compatibility with various software platforms and networks. Key benefits include: Stable real-time implementation, achieved by storing control commands in memory channels and buffers for regular transmission, ensuring fast and accurate control regardless of the network, and stable control through automatic updates on the real-time OS. Multi-network capability, allowing for various network matching by simply changing the interface due to the separation of control and communication modules, enabling the utilization of hybrid networks. Program extensibility, offering optimal linkage with third-party programs and providing an API library for users to develop and customize their own sequences. Device reliability and scalability, enabling the creation and addition of separate control devices, maintaining optimal system resources through automatic status monitoring, and minimizing conflicts between devices by using individual memory and buffers. High compatibility with hardware, compatible with various slave hardware considering only the communication protocol, maximizing hardware scalability in multi-network environments."
"What is WMX Extension, and what are its key additional options?","WMX Extension is an additional option that supplements WMX, including its robot option, 3D simulation option, and other options. Its key additional options include: Robot Option, which supports driving multiple SCARA Robots and 6-DOF (6-Degree Of Freedom) robots within the maximum number of axes allowed by the WMX license. Other Options, which features AVX (Anti-Vibration Extended License), able to reduce vibration generated during motion driving by using SynseIT (VMS) with AVX measurements."
"What is the upcoming product, SDMC, developed by Movensys?","Movensys' upcoming product is SDMC (Software Defined Motion Controller), which is described as a next-generation, cloud-based soft motion solution designed for factory-wide optimization beyond individual equipment."
What support services does Movensys provide to its users and customers?,"Movensys offers comprehensive support services, including access to FAQ (Frequently Asked Questions), options for obtaining a Trial License, Training, the ability to request a Quote, direct Tech Support, and a network of Distributors. Users can also contact them via their website for inquiries about WMX and Movensys hardware products."
How can customers access Movensys products for evaluation or download technical documentation?,"Customers can access Movensys products and documentation through WMX Download and Technical Resources. For evaluation, a Trial License Version is available, which allows users to try a free demo OS before purchasing WMX. Non-RTOS trial versions allow continuous communication for one hour without a license, and API testing in simulation mode, while RTOS trial versions can be used for up to 3 months."
"What kind of content can be found in Movensys' ""Newsroom"" section?","The ""Newsroom"" section of Movensys typically features News, Event information, and a Blog."
"Which company recently became part of the Movensys family, and what is its area of expertise?","Skylla Technologies, a specialized AMR (Autonomous Mobile Robot) control software technology company under MIT in Boston, USA, became a member of the Movensys family since March 23 2023."
"How is Movensys developing its ""Skylla"" line-up of AMR control solutions?","Movensys is developing the ""Skylla"" line-up of AMR control solutions by combining the Skylla autonomous driving solution with WMX, and plans to launch products in stages in the future."
"Describe Skylla Jetstream, including its purpose, features, and release timeline.","Skylla Jetstream is an Autonomous Driving Solution that is a high-performance, high-precision AMR autonomous driving solution designed to enable sophisticated driving through realistic mapping. Its features include Jetstream Core, which implements accurate 3D mapping using 2D Lidar and high-precision repeatability driving and avoidance algorithms. The Jetstream Server component implements high-precision repeatability of robot tip position (¡¾0.3mm) using various sensors and cameras. Skylla Jetstream is scheduled for release by 2025. Additional information can be found on the Skylla homepage."
"What is Skylla Nova, and what are its key benefits for AMR control?","Skylla Nova is an Integrated All-in-one Solution that integrates WMX and Jetstream. Its benefits include the ability to integrate three or more existing individual controllers into one software to optimize cost and efficiency. It also provides improved positioning and motion precision with Jetstream functions and real-time control performance. Furthermore, Nova is designed to reduce space, weight, and power consumption by 1/3, maximizing operation time. Skylla Nova is scheduled for development by 2025."
"What is Skylla Galaxy, and what functionalities does it offer for AMR management?",Skylla Galaxy is an upper ACS (AMR Control System) solution aimed at optimal performance scheduling of AMRs driven by Jetstream and Nova. Its functionalities include fleet management capable of operating AMRs not only on a Grid path but also on a Natural path. Galaxy also employs an efficient scheduling concept by actively applying centralized/decentralized algorithms. Movensys is also considering the development of a work scheduling optimization function utilizing AI for Galaxy.
